value,datetime,price
BTC/USDT,2024-07-09T09:28:07.887Z,57599.89
BTC/USDT,2024-07-09T10:00:01.838Z,57597.76
BTC/USDT,2024-07-10T09:09:09.999Z,58711.33
BTC/USDT,2024-07-10T09:09:12.202Z,58711.33
BTC/USDT,2024-07-10T10:00:03.313Z,58482.77
BTC/USDT,2024-07-10T11:57:50.314Z,58478.39
BTC/USDT,2024-07-10T12:00:03.066Z,58494.07
BTC/USDT,2024-07-10T13:00:02.394Z,58153.34
BTC/USDT,2024-07-10T14:00:01.728Z,57768.79
BTC/USDT,2024-07-10T15:00:01.282Z,57713.03
BTC/USDT,2024-07-10T16:00:06.991Z,57699.69
BTC/USDT,2024-07-11T08:00:05.377Z,58200.91
BTC/USDT,2024-07-11T09:00:02.666Z,58166.21
BTC/USDT,2024-07-11T10:00:01.459Z,58290.14
